prodDescription,supplierName,prodid,price1,price2,unitCost,productTypeID
Enumerator Polishing Equipment,PEC,1,164.97,142.53,,3
Planetesimal Manufacturing Equipment,PEC,2,347.28,307,,2
Tailor Jacks,TPC West,3,509.78,429.74,399.66,15
Miniaturizing Manufacturing Equipment,PEC,4,456.24,379.59,,2
Flake Photo Equipment,PEC,5,232.26,204.39,,1
Denigrating Polishing Equipment,PEC,6,565.95,454.46,,3
Bandage Manufacturing Equipment,PEC,7,298,267.01,,2
Chalmers Polishing Equipment,PEC,8,289.17,242.61,,3
Defeated Tray Supplies,TPC West,9,559.74,476.9,448.29,8
Chartable Photo Equipment,PEC,10,410.17,347.41,,9
Sailors Manufacturing Equipment,PEC,11,340.48,290.43,,2
Chromium Photo Equipment,PEC,12,565.5,457.49,,1
Coward Covers,TPC East,13,429.79,348.99,328.05,13
Travelings Photo Chemicals,TPC West,14,274.39,242.01,225.07,9
Syntax Polishing Equipment,PEC,15,226.72,190.9,,3
Insensitivity Manufacturing Equipment,PEC,16,200.71,180.44,,2
Sortie Covers,TPC East,17,248.21,213.21,206.81,13
Allis Polishing Equipment,PEC,18,201.77,176.35,,3
Habitually Manufacturing Equipment,PEC,19,509.3,419.15,,2
Courthouses Manufacturing Equipment,PEC,20,285.62,243.63,,2
Weeks Polishing Equipment,PEC,21,198.83,174.18,,3
Extinguisher Manufacturing Equipment,PEC,22,120.39,98.36,,2
Occlusion Manufacturing Equipment,PEC,23,199.88,177.29,,2
Loaves Polishing Equipment,PEC,24,425.59,361.33,,3
Automobiles Fillers,TPC East,25,283.83,227.63,218.52,12
Simulations Photo Equipment,PEC,26,318.38,255.66,,1
Vastest Photo Equipment,PEC,27,498.08,442.3,,1
Palm Polishing Equipment,PEC,28,122.39,105.38,,3
Millimeters Flushing Chemicals,TPC East,29,295.56,251.82,241.75,10
Suing Manufacturing Equipment,PEC,30,482.16,426.71,,2
Bellowing Polishing Equipment,PEC,31,502.57,451.31,,3
Embodying Cleaning Supplies,TPC West,32,250.91,213.52,207.11,5
Pervasively Manufacturing Equipment,PEC,33,374.14,334.86,,2
Septembers Manufacturing Equipment,PEC,34,584.33,522.98,,2
Birthdays Manufacturing Equipment,PEC,35,196.56,173.17,,2
Duplicator Polishing Equipment,PEC,36,544.28,465.36,,3
Escape Manufacturing Equipment,PEC,37,584.38,523.6,,2
Commendation Fillers,TPC West,38,436.33,380.04,364.84,12
Disallow Manufacturing Equipment,PEC,39,165.24,145.91,,2
Subclasses Polishing Equipment,PEC,40,282.51,239,,3
Sulkiness Covers,TPC East,41,354.3,289.82,272.43,13
Concentrators Polishing Equipment,PEC,42,584.57,524.94,,3
Bomber Photo Equipment,PEC,43,461.34,400.44,,1
