invoiceid,custID,prodID,amt,qty,discounted,cal_month,cal_day,cal_year,cal_quarter,fiscal_quarter,fiscal_year
1,28,81,151,102,0,12,31,8,4,3,08
2,28,7,294,38,0,12,31,9,4,3,09
3,10,79,139,189,0,05,24,7,2,1,07
4,10,18,189,192,0,05,24,6,2,1,06
4,10,39,203,21,0,05,24,6,2,1,06
4,10,61,380,95,0,05,24,6,2,1,06
5,6,56,138,187,0,06,30,5,2,1,05
6,31,68,389,137,0,4,3,9,2,4,08
7,6,42,259,112,0,06,30,6,2,1,06
8,31,11,122,57,0,4,3,6,2,4,05
8,31,101,209,102,0,4,3,6,2,4,05
9,17,3,241,121,0,06,26,10,2,1,10
9,17,91,317,127,0,06,26,10,2,1,10
10,28,2,102,63,0,12,31,5,4,3,05
10,28,96,291,188,0,12,31,5,4,3,05
10,28,91,139,41,0,12,31,5,4,3,05
10,28,16,163,115,0,12,31,5,4,3,05
11,23,104,142,157,0,6,7,7,2,1,07
12,31,74,286,111,0,7,3,10,3,1,10
13,40,63,256,65,0,03,13,6,1,4,05
14,40,47,215,54,0,03,13,7,1,4,06
14,40,86,333,113,0,03,13,7,1,4,06
15,25,90,190,21,0,05,20,5,2,1,05
16,25,65,372,182,0,05,20,6,2,1,06
17,25,101,244,152,0,05,20,8,2,1,08
17,25,16,288,167,0,05,20,8,2,1,08
18,34,1,323,117,0,05,13,10,2,1,10
18,34,17,311,42,0,05,13,10,2,1,10
19,36,36,220,126,1,01,20,9,1,3,08
20,36,34,212,21,1,01,20,8,1,3,07
20,36,65,157,52,0,01,20,8,1,3,07
21,19,29,337,17,0,02,27,9,1,4,08
21,19,46,226,191,0,02,27,9,1,4,08
21,19,77,127,10,0,02,27,9,1,4,08
22,20,40,161,145,1,09,19,9,3,2,09
22,20,13,318,71,1,09,19,9,3,2,09
23,4,56,168,195,0,05,15,5,2,1,05
23,4,23,219,187,0,05,15,5,2,1,05
24,36,87,240,35,0,01,20,5,1,3,04
25,25,7,317,17,0,5,9,10,2,1,10
25,25,54,301,23,0,5,9,10,2,1,10
25,25,17,139,200,0,5,9,10,2,1,10
26,19,90,285,139,0,10,29,10,4,2,10
26,19,29,194,173,0,10,29,10,4,2,10
26,19,52,328,29,0,10,29,10,4,2,10
27,36,64,190,157,0,01,20,6,1,3,05
28,24,105,200,152,0,9,7,7,3,2,07
29,36,36,331,196,0,05,23,5,2,1,05
30,21,104,349,110,0,10,18,7,4,2,07
30,21,94,319,35,0,10,18,7,4,2,07
31,21,46,144,112,1,10,18,5,4,2,05
32,20,5,384,14,0,04,19,9,2,4,08
33,21,72,113,156,0,10,18,8,4,2,08
34,21,9,392,177,0,10,18,9,4,2,09
34,21,18,183,106,0,10,18,9,4,2,09
35,20,104,367,176,0,04,19,8,2,4,07
36,33,35,266,178,0,2,7,8,1,4,07
37,24,7,180,179,0,02,17,10,1,4,09
37,24,4,148,156,0,02,17,10,1,4,09
38,12,71,172,154,0,01,25,10,1,3,09
38,12,29,329,57,0,01,25,10,1,3,09
38,12,34,136,69,0,01,25,10,1,3,09
39,9,59,341,85,0,3,1,10,1,4,09
40,8,66,323,49,0,3,7,10,1,4,09
40,8,69,267,81,0,3,7,10,1,4,09
41,18,35,222,191,1,11,14,5,4,3,05
41,18,97,225,63,1,11,14,5,4,3,05
