invoiceid,custID,prodID,cal_day,cal_month,cal_quarter,cal_year,fiscal_quarter,fiscal_year,qty,amt,discounted
18,34,1,13,5,2,10,1,10,117,19301.49,0
161,34,1,19,1,1,8,3,7,191,31509.27,0
172,26,1,26,6,2,6,1,6,14,2309.58,0
331,34,1,5,7,3,7,1,7,36,5938.92,0
525,1,1,24,9,3,9,2,9,40,6598.8,0
550,40,1,19,3,1,9,4,8,55,9073.35,0
592,9,1,10,9,3,7,2,7,10,1649.7,0
616,33,1,1,2,1,9,4,8,81,13362.57,0
632,7,1,19,2,1,7,4,6,43,7093.71,0
858,6,1,25,4,2,10,4,9,64,10558.08,0
882,30,1,18,9,3,9,2,9,116,19136.52,0
1210,2,1,12,8,3,8,2,8,137,22600.89,0
1211,11,1,4,8,3,7,2,7,24,3959.28,0
1220,2,1,12,8,3,7,2,7,143,23590.71,0
1253,30,1,5,10,4,10,2,10,30,4949.1,0
1291,10,1,5,5,2,7,1,7,109,17981.73,0
1309,14,1,1,9,3,8,2,8,159,26230.23,0
1316,14,1,1,9,3,5,2,5,168,27714.96,0
1370,38,1,30,9,3,6,2,6,186,30684.42,0
1464,16,1,30,5,2,8,1,8,157,25900.29,0
1483,16,1,15,8,3,8,2,8,161,26560.17,0
1513,1,1,8,1,1,10,3,9,173,28539.81,0
1522,18,1,1,1,1,6,3,5,130,21446.1,0
1566,17,1,29,12,4,5,3,5,11,1814.67,0
1610,38,1,28,8,3,7,2,7,65,10723.05,0
1626,22,1,6,6,2,7,1,7,113,18641.61,0
1744,28,1,29,1,1,8,3,7,64,10558.08,0
1870,19,1,29,7,3,5,1,5,112,18476.64,0
1947,9,1,28,6,2,6,1,6,11,1814.67,0
2167,21,1,11,4,2,8,4,7,66,10888.02,0
2188,34,1,18,7,3,10,1,10,17,2804.49,0
2210,20,1,30,4,2,9,4,8,124,20456.28,0
2256,11,1,31,12,4,5,3,5,109,17981.73,0
2335,40,1,13,5,2,9,1,9,50,8248.5,0
2404,7,1,7,11,4,7,3,7,135,22270.95,0
2413,9,1,5,10,4,10,2,10,40,6598.8,0
2463,26,1,18,6,2,10,1,10,83,13692.51,0
2482,7,1,11,1,1,5,3,4,187,30849.39,0
2489,26,1,22,2,1,9,4,8,102,16826.94,0
2567,12,1,5,5,2,9,1,9,143,23590.71,0
2699,16,1,8,1,1,8,3,7,57,9403.29,0
2840,29,1,20,3,1,10,4,9,45,7423.65,0
2886,5,1,13,11,4,5,3,5,101,16661.97,0
3211,29,1,26,5,2,8,1,8,118,19466.46,0
3219,7,1,21,1,1,10,3,9,89,14682.33,0
3234,36,1,3,6,2,5,1,5,27,4454.19,0
3332,14,1,4,3,1,7,4,6,189,31179.33,0
3409,40,1,27,5,2,10,1,10,168,27714.96,0
3438,2,1,25,6,2,6,1,6,64,10558.08,0
3593,15,1,2,12,4,9,3,9,28,4619.16,0
3654,19,1,22,6,2,10,1,10,129,21281.13,0
3726,16,1,9,1,1,6,3,5,73,12042.81,0
3772,22,1,31,5,2,6,1,6,33,5444.01,0
3824,8,1,3,1,1,8,3,7,104,17156.88,0
3866,15,1,27,8,3,8,2,8,108,17816.76,0
3965,7,1,16,10,4,5,2,5,107,17651.79,0
4132,26,1,26,5,2,9,1,9,38,6268.86,0
4170,37,1,26,2,1,8,4,7,36,5938.92,0
4172,13,1,3,5,2,10,1,10,57,9403.29,0
4232,12,1,8,5,2,10,1,10,84,13857.48,0
4235,28,1,24,8,3,9,2,9,13,2144.61,0
4340,5,1,8,10,4,9,2,9,168,27714.96,0
4406,19,1,23,3,1,10,4,9,138,22765.86,0
4415,37,1,23,2,1,7,4,6,182,30024.54,0
4430,35,1,14,4,2,5,4,4,25,4124.25,0
4721,9,1,8,10,4,5,2,5,45,7423.65,0
4983,35,1,14,8,3,5,2,5,27,4454.19,0
5161,28,1,18,1,1,9,3,8,56,9238.32,0
5221,38,1,25,12,4,6,3,6,196,32334.12,0
5232,32,1,9,7,3,9,1,9,32,5279.04,0
5319,1,1,6,2,1,7,4,6,180,29694.6,0
5488,19,1,23,9,3,9,2,9,199,32829.03,0
5669,2,1,17,3,1,9,4,8,119,19631.43,0
5677,18,1,5,12,4,10,3,10,179,29529.63,0
5711,35,1,23,9,3,6,2,6,105,17321.85,0
5725,15,1,22,5,2,8,1,8,115,18971.55,0
5880,4,1,19,2,1,7,4,6,195,32169.15,0
6278,16,1,3,1,1,9,3,8,137,22600.89,0
6286,22,1,24,5,2,10,1,10,97,16002.09,0
6351,17,1,17,3,1,10,4,9,138,22765.86,0
6410,22,1,29,9,3,10,2,10,111,18311.67,0
6463,39,1,3,5,2,7,1,7,57,9403.29,0
6480,40,1,16,7,3,5,1,5,70,11547.9,0
6572,29,1,16,3,1,10,4,9,85,14022.45,0
6698,24,1,3,3,1,6,4,5,116,19136.52,0
6758,9,1,20,1,1,7,3,6,136,22435.92,0
